,Year,Air Temperature,Pressure Station Level,Pressure Mean Sea Level,Relative Humidity,Horizontal Visibility,Dew Point Temperature,PM2.5,PM10,NO2,SO2,Day No.,D-1 PM10,D-1 NO2,D-1 SO2,Date_n,Wind Speed,D-2 PM10,D-3 PM10,D-4 PM10,D-5 PM10,D-6 PM10,D-7 PM10
0,2013,9578.126841139996,275428.6085465999,275547.1392640998,27223.69143499,1044.0770958319997,7586.766700096997,12995.5,39463.32999999998,18762.280000000006,3353.619999999998,66795,39541.26999999998,18801.060000000005,3379.559999999998,432344,896.9601677050001,39443.419999999984,39398.789999999986,39372.709999999985,39340.19999999998,39252.06999999998,39286.11999999998
1,2014,9684.925561170003,275655.8770411001,275774.8095206999,26924.214916269993,985.4003480919995,7613.040326825002,13818.0,44121.04000000001,18579.76,3288.2200000000003,66795,44057.21,18497.969999999998,3278.5000000000005,432709,898.7071823160001,43815.1,43855.06999999999,43902.74,43912.90999999999,43911.579999999994,43800.49999999999
2,2015,9829.790252279992,275813.62134140014,275931.3562374002,27381.163324609992,990.6160156579998,7888.525150876004,12264.5,41850.669999999984,19798.789999999983,2527.770000000001,66795,41716.929999999986,19839.209999999985,2553.640000000001,433074,894.2436233539996,41584.64999999999,41638.52999999999,41622.63,41626.72000000001,41695.62000000001,41745.96
3,2016,10019.988400099997,276325.8181290002,276442.7863497998,27480.74437107,1016.229970851001,8063.113973527999,24344.25,45262.39000000003,15619.410000000005,1760.5299999999995,67161,45409.20000000004,15647.790000000005,1751.6799999999996,435630,945.459733831,45406.09000000004,45378.23000000004,45328.47000000004,45252.92000000004,45097.70000000003,44955.990000000034
4,2017,9703.632599479999,275584.7506936,275702.8713904002,27362.55170369,1068.4373453409994,7761.0681146330035,25084.5,44226.23999999998,14525.649999999998,2422.8600000000006,66795,44240.20999999998,14538.859999999997,2422.1900000000005,433804,1053.979248784,44223.81999999998,44215.10999999998,44280.499999999985,44353.23999999998,44461.269999999975,44535.96999999999
5,2018,9655.908252539997,275583.1421208001,275701.1591342002,27227.05069203,1045.8286373569995,7666.832911870005,27023.499999999996,46541.74999999994,14859.97999999999,2016.730000000001,66795,46488.90999999993,14833.73999999999,2012.0700000000008,434169,983.0338717770004,46481.58999999993,46404.79999999993,46331.82999999993,46238.30999999994,46152.789999999935,46157.59999999994
6,2019,4785.369337329998,136862.99295880002,136922.60846939991,13096.0983314,588.791870778,3715.569594731998,14795.980000000007,24170.749999999996,8486.320000000002,1426.42,16471,24409.729999999996,8540.410000000003,1433.65,210276,576.6298400810001,24626.84999999999,24892.149999999998,25124.24,25364.01,25610.429999999997,25826.729999999996
